genre_id,genre_name,books_count
1,Бизнес-книги,254
2,Банковское-дело,62
3,Бухучет-налогообложение-аудит,9
5,Делопроизводство,17
6,Зарубежная-деловая-литература,6
7,Интернет-бизнес,65
8,Кадровый-менеджмент,30
12,Коучинг,43
13,Мотивация,181
16,Управление-персоналом,133
17,Корпоративная-культура,19
18,Личная-эффективность,189
19,Личные-финансы,49
22,Маркетинг-pr-реклама,229
23,Pr,56
25,Брендинг,38
27,Интернет-маркетинг,4
35,Отношения-с-клиентами,16
38,Реклама,27
43,Менеджмент,420
44,Mba,5
46,Бизнес-процессы,71
49,Лидерство,110
52,Стратегический-менеджмент,14
53,Управление-бизнесом,149
54,Управление-качеством,13
56,Финансовый-менеджмент,9
59,Недвижимость,2
60,О-бизнесе-популярно,176
65,Истории-успеха,134
67,Креатив-идеи,21
72,Российская-практика,8
74,Советы-от-гуру,6
75,Эффективность-бизнеса,8
76,Ораторское-искусство-риторика,55
77,Отраслевые-издания,10
78,Переговоры,50
79,Поиск-работы-карьера,49
81,Продажи,36
83,Техника-продаж,29
85,Успешные-переговоры,8
87,Эффективная-презентация,7
89,Стартапы-и-создание-бизнеса,14
90,Тайм-менеджмент,45
91,Финансы,22
99,Трейдинг,23
101,Ценные-бумаги-инвестиции,61
102,Экономика,146
104,История-экономики,37
107,Макроэкономика,7
110,Общая-экономическая-теория,10
116,Экономическая-статистика,7
117,Экономический-анализ,6
119,Боевики-остросюжетная-литература,80
120,Боевая-фантастика,757
121,Боевики,32
122,Вестерны,9
123,Зарубежные-боевики,1
124,Криминальные-боевики,21
125,Триллеры,1183
126,Детективы,410
127,Зарубежные-детективы,2427
128,Иронические-детективы,202
129,Исторические-детективы,295
130,Классические-детективы,771
131,Крутой-детектив,15
132,Политические-детективы,30
133,Полицейские-детективы,247
134,Современные-детективы,735
136,Шпионские-детективы,70
137,Детские-книги,1166
140,Детская-познавательная-и-развивающая-литература,351
141,Детская-проза,927
142,Детская-фантастика,758
143,Детские-детективы,470
144,Детские-приключения,438
145,Детские-стихи,70
146,Зарубежные-детские-книги,1764
148,Книги-для-дошкольников,110
149,Книги-для-подростков,2361
150,Сказки,924
151,Прочая-учебная-литература,21
152,Школьные-учебники,13
354,Учебные-программы,2
355,Школьные-методические-пособия,58
357,Школьные-учебники-по-английскому-языку,3
364,Школьные-учебники-по-истории,3
377,Школьные-учебники-по-русскому-языку,5
387,Дом-семья-хобби-и-досуг,91
389,Воспитание-детей,375
390,Домашние-животные,85
391,Зарубежная-прикладная-литература,35
392,Изобразительное-искусство,195
393,Интерьеры,9
394,Искусство-фотографии,79
395,Кулинария,188
396,Мода-и-стиль,108
397,Отдых-туризм,22
398,Охота,4
400,Природа-и-животные,71
401,Развлечения,32
402,Рукоделие-ремесла,17
404,Сад-и-огород,6
405,Самосовершенствование,439
406,Сделай-сам,16
407,Спорт-фитнес,128
408,Хобби-увлечения,46
409,Зарубежная-литература,895
412,Зарубежная-классика,3817
414,Зарубежная-литература-о-культуре-и-искусстве,72
415,Зарубежная-образовательная-литература,14
416,Зарубежная-поэзия,164
418,Зарубежная-психология,28
419,Зарубежная-публицистика,29
420,Зарубежная-религиозная-и-эзотерическая-литература,3
423,Зарубежная-старинная-литература,15
424,Зарубежная-фантастика,2161
426,Зарубежное-фэнтези,2633
430,Зарубежные-любовные-романы,1749
431,Зарубежные-приключения,63
432,Зарубежный-юмор,19
433,Современная-зарубежная-литература,5937
434,Классическая-литература,378
435,Античная-литература,58
436,Древневосточная-литература,6
437,Древнерусская-литература,7
438,Европейская-старинная-литература,24
441,Классическая-проза,1996
442,Литература-18-века,45
443,Литература-19-века,423
444,Литература-20-века,1455
445,Мифы-легенды-эпос,177
446,Русская-классика,1499
447,Советская-литература,347
448,Старинная-литература,14
449,Фольклор,85
451,Книги-на-английском,57
459,Книги-по-психологии,495
460,Возрастная-психология,14
461,Детская-психология,78
463,История-психологии,6
464,Классики-психологии,250
465,Общая-психология,408
466,Основы-психологии,73
467,Отраслевая-психология,51
468,Практическая-психология,661
471,Психоанализ,80
472,Психологическая-консультация,7
473,Психологическая-практика,12
475,Психотерапия,116
477,Прикладная-психология,8
478,Нейропсихология,45
479,О-психологии-популярно,885
483,Психология-управления,118
485,Саморазвитие-личностный-рост,478
486,Семья-брак-сексология,110
488,Социальная-психология,101
489,Соционика,3
490,Компьютерная-литература,40
491,Базы-данных,9
493,Интернет,32
497,Ос-и-сети,62
498,Программирование,132
499,Программы,26
500,Красота-и-здоровье,45
502,Здоровое-и-правильное-питание,52
503,Здоровье,162
504,Косметика-и-косметология,19
505,Народная-и-нетрадиционная-медицина,120
507,Похудение-и-диеты,74
510,Культура-и-искусство,143
511,Архитектура,65
512,Дизайн,74
516,Искусствоведение,336
517,История-искусств,82
518,Кинематограф-театр,182
519,Критика,148
520,Музеи-и-коллекции,18
521,Музыка,154
523,Опера-балет,13
525,Телевидение,73
527,Любовные-романы,275
529,Исторические-любовные-романы,294
530,Короткие-любовные-романы,31
531,Любовно-фантастические-романы,127
532,Остросюжетные-любовные-романы,99
533,Современные-любовные-романы,963
534,Эротические-романы,136
535,Наука-и-образование,2
536,Военное-дело,8
537,Гуманитарные-и-общественные-науки,318
538,Иностранные-языки,43
539,Английский-язык,53
541,Испанский-язык,5
542,Итальянский-язык,3
543,Немецкий-язык,15
545,Русский-язык-как-иностранный,12
546,Французский-язык,6
547,История,676
548,Археология,18
549,Всемирная-история,326
550,История-древнего-мира,90
551,История-россии,306
552,История-средних-веков,78
553,Источниковедение,15
554,Новейшая-история,18
555,Новое-время,8
556,Общая-история,11
559,Этнография,106
591,Культура-и-просвещение,2
593,Библиография,21
594,Издательское-дело,16
595,Музейное-дело,4
597,Сми,24
599,Физкультура-и-спорт,33
600,Культурология,370
601,Педагогика,108
602,Политика,171
609,Политология,173
611,Социология,191
612,Филология,4
613,Литературоведение,327
615,Языкознание,98
616,Философия,597
617,История-философии,41
618,Книги-по-философии,185
619,Логика,20
621,Социальная-философия,21
622,Эстетика,23
623,Этика,30
641,Юридическая-литература,13
642,Адвокатура,9
670,История-права,26
673,Криминалистика,21
674,Криминология,39
689,Уголовное-право,3
691,Юриспруденция,49
692,Естественные-науки,42
693,Астрономия,83
694,Биология,84
695,Анатомия-и-физиология,54
696,Антропология,59
698,Ботаника,17
699,Вирусология,12
700,Генетика,17
701,Зоология,31
703,Нейробиология,30
704,Общая-биология,35
705,Палеонтология,4
706,Естествознание,25
707,Математика,81
708,Механика,8
709,Науки-о-земле,4
710,География,32
712,Геология,4
713,Физика,176
714,Химия,27
723,Экология,20
726,Медицина-здравоохранение,57
727,Акушерство-и-гинекология,23
732,Гастроэнтерология,2
736,Дерматология,7
737,Кардиология,5
738,Клиническая-медицина,7
739,Медицина,118
741,Наркология,7
742,Неврология,7
746,Ортопедия-и-травматология,7
747,Офтальмология,3
749,Педиатрия-и-неонатология,7
750,Прикладные-отрасли-медицины,3
751,Психиатрия,52
753,Стоматология,2
757,Фармакология,10
760,Хирургия,6
761,Эндокринология,4
764,Монографии,9
765,Научно-популярная-литература,666
766,Научные-труды,9
771,Прочая-образовательная-литература,31
774,Ветеринария,8
780,Технические-науки,11
784,Информатика-и-вычислительная-техника,13
815,Радиоэлектроника,5
824,Строительство,1
825,Архитектурные-конструкции,3
833,Техническая-литература,38
838,Транспорт,2
839,Автотранспорт,8
840,Водный-транспорт,4
841,Воздушный-транспорт,4
1095,Периодические-издания,17
1098,Журналы,6
1109,Медицинские-журналы,5
1120,Повести-рассказы,92
1121,Комиксы-манга-графические-романы,1776
1123,Очерки,13
1124,Повести,114
1125,Рассказы,490
1126,Фанфик,7
1127,Эссе,131
1128,Поэзия-и-драматургия,55
1129,Поэзия,495
1130,Зарубежная-драматургия,291
1132,Драматургия,70
1133,Приключения,579
1136,Исторические-приключения,1034
1137,Книги-о-приключениях,50
1138,Книги-о-путешествиях,339
1139,Морские-приключения,121
1140,Публицистическая-литература,81
1141,Афоризмы-и-цитаты,34
1142,Биографии-и-мемуары,2557
1143,Военное-дело-спецслужбы,225
1144,Документальная-литература,218
1146,Интервью,9
1147,Публицистика,331
1149,Статьи,37
1150,Религия,65
1151,Буддизм,46
1152,Вероучения-в-буддизме,5
1153,Дзэн-буддизм,5
1155,Духовная-литература,22
1157,Ислам,15
1159,Коран,4
1163,Иудаизм,3
1164,Католицизм,19
1165,Православие,130
1166,Акафисты,1
1167,Богословие,18
1169,Житийная-литература,34
1170,История-церкви,19
1171,Книги-для-священнослужителей,1
1172,Паломничество,3
1173,Православие-для-детей,16
1179,Священное-писание,33
1181,Религии-верования-культы,67
1182,Религиоведение-история-религий,124
1183,Религиозные-тексты,14
1185,Христианство,42
1186,Словари-справочники,9
1188,Путеводители,149
1189,Руководства,58
1190,Самоучители,36
1191,Словари,12
1192,Другие-словари,2
1196,Разговорники,12
1203,Справочная-литература,1
1204,Справочники,8
1216,Энциклопедии,85
1217,Современная-проза,2429
1218,Историческая-проза,383
1219,Книги-о-войне,272
1220,Контркультура,70
1222,Современная-русская-литература,1745
1223,Ужасы-мистика,1317
1224,Мистика,576
1225,Ужасы,259
1226,Фантастика,473
1228,Героическая-фантастика,169
1229,Детективная-фантастика,108
1231,Историческая-фантастика,116
1232,Киберпанк,83
1233,Космическая-фантастика,321
1235,Научная-фантастика,688
1236,Попаданцы,148
1237,Социальная-фантастика,249
1238,Стимпанк,55
1239,Юмористическая-фантастика,82
1240,Фэнтези,893
1241,Боевое-фэнтези,203
1242,Героическое-фэнтези,554
1243,Городское-фэнтези,357
1244,Детективное-фэнтези,121
1246,Историческое-фэнтези,103
1247,Книги-про-вампиров,295
1248,Книги-про-волшебников,194
1249,Романтическое-фэнтези,1038
1251,Отечественное-фэнтези,2472
1252,Фэнтези-про-драконов,80
1253,Эротическое-фэнтези,18
1254,Юмористическое-фэнтези,306
1255,Эзотерика,514
1256,Астрология,35
1257,Гадание-толкование-снов,36
1259,Йога,120
1260,Магия-колдовство,55
1261,Парапсихология,17
1262,Практическая-эзотерика,126
1263,Современные-религиозные-течения,25
1264,Спиритизм-пророчества-и-предсказания,49
1265,Таинственные-явления,40
1266,Тайные-общества,9
1267,Фэн-шуй,4
1268,Эзотерика-оккультизм,217
1269,Эротика-и-секс,43
1270,Сексуальные-руководства,44
1272,Эротическая-литература,87
1273,Эротические-рассказы-и-истории,13
1276,Юмористическая-литература,84
1277,Анекдоты,32
1279,Юмор-и-сатира,70
1280,Юмористическая-проза,325
1282,Учебная-литература,15
1284,Русская-литература,252
1306,Отечественные-любовные-романы,259
1308,Историческая-отечественная-проза,1
1309,Отечественные-детективы,295
1310,Отечественный-мужской-детектив,171
1311,Отечественный-женский-детектив,364
1312,Современный-отечественный-детектив,78
1313,Классический-отечественный-детектив,35
1314,Отечественная-фантастика,1452
1315,Отечественный-боевик,30
1316,Отечественная-поэзия,235
1317,Отечественная-драматургия,240
1318,Русская-литература-для-детей,922
1319,Сказки-отечественных-писателей,238
1321,Отечественная-поэзия-для-детей,58
1322,Русская-классика-для-детей,111
1323,Отечественные-мемуары,53
1324,Отечественный-юмор-и-сатира,32
1325,Индуизм,14
1326,Исторический-роман,406
1327,Магический-реализм,140
1328,Космонавтика,6
1330,ЛитРПГ,85
1333,Реализм,245
1336,Темное-фэнтези,57
1342,Артбуки,2
1345,Альтернативная-история,5
1352,Мифологическое-фэнтези,5
1360,Антиутопия,7
1363,Манга,20
1366,Манхва,1
1372,Комиксы,3
1375,Графические-романы,1
1381,Маньхуа,1
1384,Психологический-роман,6
1388,Славянское-фэнтези,4
1391,Ориентальное-фэнтези,3
